Column1;Title;Price;Address;Suburb;Type;bedroom;bathroom;lat;lon;garage
209;2 ha Land available in White River Central; 5 500 000;101 R40;White River;Land;;;-25.32521858285448;31.021553953352903;
210;2 ha Land available in White River; 5 500 000;1 R40;White River;Land;;;-25.331119990596136;31.01191999903503;
211;9.7 ha Farm in White River;On Auction;249 Heidelberg White River Rural;White River;Farm;;;-25.326269999999965;31.022020000000055;
212;2.9 ha Farm in White River;On Auction;64 White River White River Estates;White River;Farm;38;28;-25.284120771258443;31.00470102671631;
213;5.3 ha Farm in White River Central;On Auction;64 White River White River Central;White River;Farm;9;9;-25.350845645789654;30.998535547245222;
214;1.4 ha Land available in White River; 680 000;14 Wild Fig Estate;White River;Land;;;-25.360609956719266;31.01637506439181;
215;2 Bed Apartment in White River Central; 680 000;13 Steliahof 18 Alie Van Bergen Street;White River;Apartment;2;1.5;-25.33221001519459;31.01365002385046;1
216;2 Bed Apartment in White River Central; 715 000;3 The Village;White River;Apartment;2;1;-25.325709999999958;31.02236000000005;1
217;1.2 ha Land available in Likweti Bushveld Farm Estate; 850 000;5 Likweti Plains Way;White River;Land;;;-25.326269999999965;31.022020000000055;
218;2 Bed Apartment in White River Central; 950 000;4 Bellevue;White River;Apartment;2;1;-25.328389999999956;31.013520000000028;1
219;4 ha Land available in White River; 990 000;125 Kingston Vale;White River;Land;;;-25.326269999999965;31.022020000000055;
220;1 ha Land available in Likweti Bushveld Farm Estate; 1 100 000;1 Likweti Hills;White River;Land;;;-25.330299999999966;31.01183000000003;
221;2 Bed House in White River; 1 185 000;2 Hull Road;White River;House;2;2;-25.326269999999965;31.022020000000055;
222;3 Bed Townhouse in White River; 1 368 640;17 Fairlands Village;White River;Townhouse;3;2;-25.315429947951543;31.001760084648495;
223;1 ha Land available in White River; 1 420 000;0 Lands End 249 Lands;White River;Land;;;-25.326269999999965;31.022020000000055;
224;3 Bed House in White River; 2 345 000;Erf 2367 Fairlands;White River;House;3;2;-25.315429947951543;31.001760084648495;2
225;9162 m� Farm in White River; 2 350 000;White River;White River;Farm;3;2;;;2
226;3 Bed House in White River; 2 395 000;4 Fairlands 4 Bee-eater;White River;House;3;2;-25.315429947951543;31.001760084648495;1
227;3 Bed House in White River; 2 395 000;Erf 2374 Fairlands;White River;House;3;2;-25.315429947951543;31.001760084648495;2
228;3 Bed House in White River; 2 445 000;5 Fairlands 5 Flycatcher;White River;House;3;3;-25.315429947951543;31.001760084648495;1
229;5 Bed House in White River; 2 687 500;8 Bongani;White River;House;5;5;-25.326269999999965;31.022020000000055;1
230;7 Bed House in White River; 4 190 000;28 Wally Scott Street;White River;House;7;8;-25.328659985833184;31.002920014319443;2
231;1.1 ha Farm in White River; 4 575 000;White River;White River;Farm;9;8;;;4
232;1 Bed Apartment in White River Central;On Auction;1-15 & 17 Le Passage 30 Alie Van Bergen Street;White River;Apartment;1;1;-25.329679979630598;31.012549982877715;
233;8 Bed House in White River Central; 4 900 000;7 Coolmore Road;White River;House;8;8;-25.301175634697543;30.995343930368886;4
234;4 Bed House in Likweti Bushveld Farm Estate; 5 150 000;Likweti Bushveld Farm Estate 36 Likweti Road;White River;House;4;4;-25.326269999999965;31.022020000000055;2
235;4 Bed House in White River Central; 5 420 000;35 White River;White River;House;4;3;-25.326269999999965;31.022020000000055;
236;4 Bed House in White River; 5 815 000;13 Summer Breeze Estate 13 Summer Breeze Estate;White River;House;4;4;-25.298209999999983;30.99409000000003;1
237;1 Bed Apartment in White River Central; 435 000;20 Janmari 3 Rose Bridge;White River;Apartment;1;1;-25.326269999999965;31.022020000000055;
238;1 Bed Apartment in White River; 556 000;31 Lowveld Lodge 153 Kastaing Road;White River;Apartment;1;1;-25.321739999999977;31.024950000000047;
239;2 Bed House in White River; 595 000;44 Panorama-dennehof 23 Danie Joubert Street;White River;House;2;1;-25.331956918743373;31.01220462275205;
240;2 Bed Townhouse in White River; 790 000;90 Outeniqua Street;White River;Townhouse;2;2;-25.332189982445996;30.9972299593488;
241;2 Bed Apartment in White River; 810 000;84 Matsefeni Lifestyle Centre 90 Outeniqua Street;White River;Apartment;2;2;-25.332189982445996;30.9972299593488;
