Column1;Title;Price;Address;Suburb;Type;bedroom;bathroom;lat;lon;garage
14;3 Bed House in White River; 1 595 000;11 Hazel Crescent;White River;House;3;2;-25.322810004149943;31.03043998173925;2
15;3 Bed House in White River; 1 650 000;71 Impala Street;White River;House;3;2;-25.324430016486176;31.004929994700916;2
16;5 Bed House in White River; 1 795 000;4 Syd Cornwell Street;White River;House;5;3;-25.330390010648586;31.0090099698906;1
17;5 Bed House in White River; 1 795 000;13 Drakensberg Street;White River;House;5;2;-25.322499999461;31.004430014176506;2
18;4 Bed House in White River; 2 250 000;22 Hazey River Country Estate 19 Crocodile Close;White River;House;4;4;-25.284120771258443;31.00470102671631;
19;4 Bed House in Parkville; 2 500 000;13 Essenhout Street;White River;House;4;2;-25.323790016269214;31.007469962820153;
20;4 ha Farm in White River; 2 700 000;White River;White River;Farm;5;3;;;2
21;5 Bed House in White River; 2 850 000;8 Bongani;White River;House;5;5;-25.326269999999965;31.022020000000055;2
22;4 Bed House in White River; 2 990 000;121 Heidelberg;White River;House;4;3;-25.326269999999965;31.022020000000055;
23;5587 m� Smallholding in White River; 3 890 000;116 Primkop;White River;Small Holding;;;-25.31681498704693;30.999930876454034;3
24;4 Bed House in White River; 4 895 000;1 Touyz;White River;House;4;3;-25.352095999367993;31.005575147364787;2
25;4 Bed House in White River; 5 500 000;13 Summer Breeze Estate;White River;House;4;3;-25.298209999999983;30.99409000000003;4
26;4 Bed House in White River; 5 600 000;20 Wild Fig Country Estate Wild Fig;White River;House;4;3.5;-25.378319999999974;31.02380000000005;3
27;14.8 ha Smallholding in White River; 7 950 000;White River;White River;Small Holding;;;;;3
28;4 Bed House in White River; 8 300 000;16 Sonyaka;White River;House;4;3;-25.281579999999963;31.002050000000054;3
29;4 Bed House in White River; 8 300 000;16 Sonyaka;White River;House;4;3;-25.281579999999963;31.002050000000054;2
30;5 Bed House in White River; 8 000 000;64/355 Ju Swift Creek Estate;White River;House;5;2;-25.289944274204228;30.9989961674449;4
31;230 m� Land available in White River; 370 000;White River;White River;Land;;;;;
32;2 Bed House in White River; 556 500;White River;White River;House;2;1;;;
33;2 Bed Apartment in White River; 795 000;White River;White River;Apartment;2;1;;;1
34;2 Bed Apartment in White River; 820 000;White River;White River;Apartment;2;2;;;
35;3 Bed House in White River; 1 625 000;White River;White River;House;3;2;;;1
36;5 Bed House in White River; 3 900 000;White River;White River;House;5;3;;;2
37;1.1 ha Smallholding in White River; 4 575 000;White River;White River;Small Holding;;;;;3
38;14 Bed House in White River; 5 900 000;White River;White River;House;14;11;;;
39;7 Bed House in White River; 8 500 000;00 Brightside;White River;House;7;7;-25.326269999999965;31.022020000000055;4
40;1.7 ha Smallholding in White River; 6 995 000;White River;White River;Small Holding;;;;;2
41;1 Bed Apartment in White River; 525 000;White River;White River;Apartment;1;1;;;
42;3 Bed House in Hillsview; 680 000;White River;White River;House;3;1;;;
43;2 Bed House in White River; 1 240 000;3 Hazey River Estate 3 Hull Street;White River;House;2;2;-25.323229979408552;31.029020003522277;
44;3 Bed House in White River; 1 420 000;L18 Hazey River Country Estate L18 Coral Street;White River;House;3;2;-25.326269999999965;31.022020000000055;
45;3 Bed House in White River; 1 450 000;L1 Hazey River Lakeview Estate L1 Hazey River;White River;House;3;2;-25.326269999999965;31.022020000000055;
46;3 Bed Townhouse in White River; 1 595 000;9 Tendela Estate;White River;Townhouse;3;2;-25.326269999999965;31.022020000000055;2
47;4 Bed House in White River; 1 695 000;97 Outeniqua Street;White River;House;4;2.5;-25.329069986627005;30.997920041437226;2
48;4 Bed House in Parkville; 2 200 000;8 Tamboti;White River;House;4;2;-25.321200008188;31.01126000797899;2
49;3 Bed House in White River; 2 350 000;3 Yaverland;White River;House;3;3;-25.317884965482115;31.057970091261893;2
50;4 Bed House in White River; 3 955 000;1 Southern Acres Road;White River;House;4;3.5;-25.326269999999965;31.022020000000055;2
51;6 ha Farm in White River; 4 950 000;35 Karula Road White River;White River;Farm;14;7;-25.326269999999965;31.022020000000055;2
52;4 Bed House in White River; 4 975 000;12 Pamushana Estate 1121 Drakensberg Road;White River;House;4;4;-25.145149999999944;30.461910000000046;
53;5 Bed House in Likweti Bushveld Farm Estate; 4 999 000;10 Likweti Hills;White River;House;5;3;-25.330299999999966;31.01183000000003;2
54;2 ha Farm in White River; 5 300 000;105 Hooggelegen Valley View White River;White River;Farm;3;3;-25.326269999999965;31.022020000000055;2
55;10.4 ha Farm in White River; 10 000 000;228 Hazyview;White River;Farm;5;5;-25.326269999999965;31.022020000000055;2
56;232 m� Land available in White River; 440 000;14 Clem Merriman;White River;Land;;;-25.32238998698182;31.023939983464743;
57;1 Bed Apartment in White River Central; 499 000;205/203 Rose Bridge;White River;Apartment;1;1;-25.326269999999965;31.022020000000055;
58;899 m� Land available in White River; 500 000;2417 Fairlands Estate;White River;Land;;;-25.315289949213756;31.00170505745416;
59;1 Bed Apartment in White River; 525 000;8 The Village;White River;Apartment;1;1;-25.325709999999958;31.02236000000005;
60;1314 m� Land available in White River; 550 000;1 Drumrock Estate 24 Malachite Kingfisher Street;White River;Land;;;-25.412850183224506;30.986015348352847;
61;1 Bed Townhouse in White River Central; 570 000;38 Lowveld Lodge 38 Tom Lawrence;White River;Townhouse;1;1;-25.322022440621375;31.02505641747418;1
62;1.5 Bed Apartment in White River Central; 630 000;Bell Air 2 Allie Van Bergen;White River;Apartment;1.5;1;-25.334890003006393;31.015049969318824;1
63;2 Bed Apartment in White River; 715 000;3 The Village 2 Japie Theron Street;White River;Apartment;2;1;-25.325899992755566;31.022699964708977;
64;2 Bed Apartment in White River; 739 000;58 Matsefeni 00 Tsessebi Street;White River;Apartment;2;2;-25.326269999999965;31.022020000000055;
65;2 Bed Townhouse in White River Central; 750 000;16 Hennie Van Til;White River;Townhouse;2;1;-25.33189203096151;31.01598589187924;
66;2 Bed Apartment in White River Central; 750 000;16 Varinghof 2 Willem Swanepoel;White River;Apartment;2;1;-25.32850844658249;31.014743959089493;
67;2 Bed Townhouse in White River Central; 760 000;8 Lowveld Lodge 8 Tom Lawrence Street;White River;Townhouse;2;1;-25.32469999758746;31.0225200052478;
68;2 Bed Apartment in White River; 790 000;40 Outeniqua;White River;Apartment;2;2;-25.326480020455307;31.000599987339513;1
69;2 Bed Apartment in White River Central; 820 000;3 Outeniqua;White River;Apartment;2;2;-25.323109992464595;31.00394000811687;
70;2 Bed Apartment in White River Central; 820 000;56 Matsefeni Estate 79 Tsessebi Street;White River;Apartment;2;2;-25.33113815112184;30.997245451725206;
71;1 ha Land available in White River; 820 000;Ptn Bundu Rocky Wild Park Ficus Street;White River;Land;;;-25.326269999999965;31.022020000000055;
72;1.5 ha Land available in White River; 820 000;27 R40;White River;Land;;;-25.325220010860463;31.02193000308327;
73;1 ha Land available in White River; 820 000;535 Sheffield Ridge 1121 Drakensberg Street;White River;Land;;;-25.322298783795226;31.00401444246707;
74;2 Bed Apartment in White River; 825 000;56 Matsefeni 90 Outeniqua;White River;Apartment;2;2;-25.332189982445996;30.9972299593488;
75;1 ha Land available in White River; 830 000;17 Brightside Eco & Aero Estate;White River;Land;;;-25.326269999999965;31.022020000000055;
76;2 Bed House in White River;;84 Matsefeni 90 Outeniqua;White River;House;2;2;-25.332189982445996;30.9972299593488;
77;1.5 ha Land available in White River; 850 000;27 Wild Fig Country Estate Road;White River;Land;;;-25.378319999999974;31.02380000000005;
78;2 Bed Apartment in White River Central; 860 000;7 White River Acres 13 Peter Graham Street;White River;Apartment;2;1;-25.32845999362341;31.01969999774346;
79;2 Bed Apartment in White River Central; 865 000;32 Peter Graham;White River;Apartment;2;1;-25.327005097394906;31.01837654742608;
80;2 Bed House in White River;;Bell Air 27 Alie Van Bergen Street;White River;House;2;1;-25.329449980207457;31.01346998057025;
81;1 ha Land available in White River; 865 000;536 Sheffield Ridge 536 Pine Lake Road;White River;Land;;;-23.636290498999983;27.349140000000034;
82;1 ha Land available in White River; 865 000;535 Sheffield Ridge 1 Carmine Rd ,pine Lake Drive Road;White River;Land;;;-25.284451774531647;30.99680159162438;
83;1 ha Land available in White River Central; 900 000;553 Farm;White River;Land;;;-25.326269999999965;31.022020000000055;
84;3 Bed House in Hillsview; 940 000;1342 Loerie Street;White River;House;3;3;-25.306883359368765;31.053564310098157;
85;1.1 ha Land available in White River; 950 000;63 Open Stand Waterberry Estate;White River;Land;;;-25.317634954265152;31.01513508754556;
86;1 ha Land available in White River; 977 500;5 Brightside Aero Estate 5 Brightside Drive;White River;Land;;;-25.326269999999965;31.022020000000055;
87;2 Bed Apartment in White River; 1 140 000;1 Fairlands Village;White River;Apartment;2;1;-25.315429947951543;31.001760084648495;
88;3 Bed Townhouse in White River; 1 175 000;6 Petria''s Place 42 Tom Lawrence Street;White River;Townhouse;3;1;-25.322022440621375;31.02505641747418;1
89;3 Bed Townhouse in White River; 1 175 000;6 Petria''s Place 6 Petria''s Place;White River;Townhouse;3;1;-25.319569999999942;31.02534000000003;1
90;3 Bed House in White River; 1 210 000;30 Petria''s Place 30 Petria;White River;House;3;2;-25.319597267962685;31.025313459563275;2
91;1 ha Land available in White River; 1 250 000;18 Waterberry;White River;Land;;;-25.317634954265152;31.01513508754556;
92;1 ha Land available in White River; 1 250 000;13 Brightside Street;White River;Land;;;-25.326269999999965;31.022020000000055;
93;1 ha Land available in White River; 1 250 000;1 Touyz Road;White River;Land;;;-25.352095999367993;31.005575147364787;
94;3 Bed Townhouse in White River; 1 270 000;14 Petria''s Place 42 Tom Lawrence Street;White River;Townhouse;3;1;-25.322022440621375;31.02505641747418;1
95;3 Bed House in White River; 1 350 000;35 Greenway Woods 35 Greenway Woods;White River;House;3;2;-25.326269999999965;31.022020000000055;
96;3 Bed Townhouse in White River; 1 350 000;35 Greenway Woods 41 Pinelake Drive;White River;Townhouse;3;2;-25.284451774531647;30.99680159162438;
97;3 Bed Townhouse in White River; 1 350 000;25 Greenway Woods 41 Pinelake Drive;White River;Townhouse;3;2;-25.284451774531647;30.99680159162438;
98;3 Bed Townhouse in White River; 1 350 000;6 Greenway Woods 6 Pinelake Dr;White River;Townhouse;3;2;-25.284451774531647;30.99680159162438;
99;3 Bed Townhouse in White River; 1 350 000;5 Vintage Drive;White River;Townhouse;3;2;-25.283650003971374;31.01283002226279;
100;3 Bed House in White River; 1 395 000;4 Hazey River Lakeview Estate Hazyview Road;White River;House;3;2;-25.324209991527823;31.027909988084758;
101;3 Bed House in White River; 1 495 000;3 Golden Beryl Street;White River;House;3;2;-25.326269999999965;31.022020000000055;1
102;3 Bed House in White River; 1 500 000;18 Hazey River Lakeview Estate Hazyview Road;White River;House;3;2;-25.323480011580273;31.030139993424598;
103;3 Bed House in White River Central; 1 550 000;78 Impala;White River;House;3;2;-25.32503175038297;31.00466874224831;2
104;4 Bed House in White River; 1 560 000;4 Maluti Street;White River;House;4;3.5;-25.322410019730413;31.002839967144126;3
105;3 Bed Townhouse in White River; 1 590 000;32 Greenway Woods 19 Pinelake Drive;White River;Townhouse;3;2;-25.284451774531647;30.99680159162438;
106;3 Bed House in White River; 1 595 000;11 Hazel Cresent;White River;House;3;2;-25.322810004149943;31.03043998173925;1
107;3 Bed House in White River; 1 600 000;1 Hazey River Country Estate 1 Hull Street;White River;House;3;2;-25.283630013132296;31.004149974791403;
108;3 Bed Townhouse in White River Central; 1 635 000;3 Coppins Close 17 Danie Joubert Street;White River;Townhouse;3;2.5;-25.332679999999982;31.012510000000077;2
109;3 Bed Townhouse in White River; 1 635 000;3 Coppins Close 23 Danie Joubert;White River;Townhouse;3;2;-25.332679999999982;31.012510000000077;2
110;3 Bed House in White River; 1 642 000;9 Ss Hazey River Lakeview Estate 9 Leguan Street;White River;House;3;2;-25.31936001280293;31.026929975965487;
111;3 Bed House in White River;;6 Tsessebi Street;White River;House;3;2;-25.326269999999965;31.022020000000055;2
112;3 Bed House in White River; 1 690 000;L-3 Hazey River Lakeview R40 White River Hazyview Road;White River;House;3;2;-25.326269999999965;31.022020000000055;
113;4 Bed House in White River; 1 695 000;97 Outeniqua Street;White River;House;4;2;-25.329069986627005;30.997920041437226;2
114;4 Bed House in White River Central; 1 695 000;97 Outeniqua Street;White River;House;4;2.5;-25.329069986627005;30.997920041437226;2
115;4 Bed House in White River; 1 695 000;97 Outeniqua;White River;House;4;2;-25.329069986627005;30.997920041437226;2
116;4 Bed House in White River; 1 695 000;31 Henry Morey;White River;House;4;4;-25.330249990956048;31.000650027301475;2
117;3 Bed House in White River Central; 1 695 000;85d Impala;White River;House;3;2;-25.319099450580083;31.010374300923065;1
118;4 Bed House in White River; 1 695 000;31 Henry Morey;White River;House;4;4;-25.330249990956048;31.000650027301475;2
119;4 Bed House in White River; 1 695 000;31 Henry Morey Street;White River;House;4;4;-25.330249990956048;31.000650027301475;2
120;3 Bed House in White River; 1 695 000;73 Impala Road;White River;House;3;2;-25.324279980419334;31.005180026872637;2
121;4 Bed Townhouse in White River Central; 1 699 000;4 Pelindaba Place;White River;Townhouse;4;3;-25.328389999999956;31.013520000000028;
122;4 Bed House in White River; 1 740 000;31 Henry Morey;White River;House;4;4;-25.330249990956048;31.000650027301475;2
123;2.1 ha Land available in White River; 1 750 000;1 The Ranch Road White River Central;White River;Land;;;-25.326269999999965;31.022020000000055;
124;3 Bed House in White River Central; 1 850 000;6 Van Riebeeck Street;White River;House;3;1;-25.331520016925182;31.009109965995464;
125;4.5 ha Land available in White River; 2 000 000;4 St Georges Street;White River;Land;;;-25.343326248269765;31.019802975332578;
126;3 Bed House in White River; 2 300 000;22 Vallei Uitsig;White River;House;3;3;-25.326269999999965;31.022020000000055;1
127;3 Bed House in White River; 2 350 000;32 Yaverland Street;White River;House;3;2;-25.317884965482115;31.057970091261893;2
128;3 Bed House in White River Central; 2 395 000;2 Bee Eater Close;White River;House;3;2;-25.313649966993204;31.00108508998578;2
129;3 Bed House in White River Central; 2 395 000;2375 Fairlands;White River;House;3;2;-25.315429947951543;31.001760084648495;2
130;5 Bed House in White River Central; 2 400 000;18 Outeniqua Street;White River;House;5;3;-25.3245800106435;31.002520029899898;2
131;3 Bed House in White River; 2 445 000;5 Flycatcher;White River;House;3;2;-25.312979938608116;31.000720100012003;2
132;3 Bed House in White River Central; 2 450 000;84 White River Road;White River;House;3;3;-25.326269999999965;31.022020000000055;4
133;3 Bed House in White River Central; 2 500 000;13 Essenhout Street;White River;House;3;2;-25.323790016269214;31.007469962820153;
134;2 ha Farm in White River; 2 500 000;Y5d Yaverland Road;White River;Farm;4;1;-25.317884965482115;31.057970091261893;
135;3 Bed House in White River; 2 520 000;1 Yaverland Road;White River;House;3;2.5;-25.317884965482115;31.057970091261893;2
136;6 Bed House in White River Central; 2 600 000;29 Alie Van Bergen;White River;House;6;4;-25.329099993840373;31.013100003364087;4
137;5 Bed House in White River; 2 659 000;41 Mt Anderson Street;White River;House;5;5;40.44748290554226;-74.37651004804394;1
138;6 Bed House in White River; 2 659 000;8 My Bongani Street;White River;House;6;6;-25.326269999999965;31.022020000000055;2
139;3 Bed House in White River; 2 685 000;22 Frank Townsend;White River;House;3;3;-25.333200001778636;31.002829992679324;
140;4 Bed House in White River; 2 720 000;22 Frank Townsend;White River;House;4;3;-25.333200001778636;31.002829992679324;
141;3 Bed House in White River; 2 720 000;22 Frank Townsend Road;White River;House;3;3;-25.333200001778636;31.002829992679324;
142;3 Bed House in White River; 2 750 000;22 Frank Townsend;White River;House;3;3;-25.333200001778636;31.002829992679324;
143;4.6 ha Land available in White River; 2 750 000;64 White River;White River;Land;;;-25.326269999999965;31.022020000000055;
144;5 Bed House in White River; 2 795 000;Waterkant 12 Leeukop;White River;House;5;7;-25.326269999999965;31.022020000000055;4
145;4 Bed House in White River Central;;4 John Barker Street;White River;House;4;2;-25.33100000365218;31.006820030047948;2
146;5 Bed House in White River; 2 850 000;8 Mount Bongani;White River;House;5;5;-25.326269999999965;31.022020000000055;2
147;5 Bed House in White River; 2 850 000;8 Waterkant Estate 8 Bongani Street;White River;House;5;5;-25.326269999999965;31.022020000000055;2
148;4 Bed House in White River; 2 980 000;249 Heidelberg Farm;White River;House;4;3;-25.326269999999965;31.022020000000055;2
149;3 Bed House in White River; 3 200 000;21 The Village;White River;House;3;2;-25.325709999999958;31.02236000000005;
150;9 Bed House in White River; 3 200 000;9 John Barker Street;White River;House;9;9;-25.330290014543706;31.0071699745055;2
151;9 Bed House in White River; 3 200 000;9 John Baker;White River;House;9;2;-25.330290014543706;31.0071699745055;
152;6 Bed House in White River; 3 295 000;8 Jacaranda Street;White River;House;6;4;-25.328680018581764;31.006400012879823;
153;6 Bed House in White River Central; 3 295 000;8 Jakaranda;White River;House;6;4;-25.328680018581764;31.006400012879823;2
154;1.9 ha Farm in White River; 3 300 000;6a Benroc;White River;Farm;3;2;-25.326269999999965;31.022020000000055;
